agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	435742108082001	46-094-16abc01	43.96158330	-108.13880560	1	NAD83	 4355	 10	NGVD29		31
USGS	435745109043001	46-102-15aa 01	43.96245469	-109.07569170	S	NAD83	 7200.00	1	NGVD29	70.0	
USGS	435757106041501	46-077-14aa 01	43.96581110	-106.07140880	S	NAD83	 4500.00	  1	NGVD29	330	
USGS	435758108235201	46-096-08caa01	43.96606610	-108.39844100	U	NAD83	 5185	  1	NGVD29	271	
USGS	435800104080001	34-061-01ab 01	42.95691270	-104.12882660	M	NAD83	 5000.00	1	NGVD29	31.2	
USGS	435800104090001	34-061-02bb 01	42.95663490	-104.15827260	M	NAD83	 5000.00	1	NGVD29	20.0	
USGS	435800104143001	34-061-06ab 02	42.95607934	-104.22716490	M	NAD83	 4490.00	1	NGVD29	147	
USGS	435800104210001	46-062-18bdc01	43.96664639	-104.35050300	U	NAD83				2677	2677
USGS	435800104244001	46-063-15bd 01	43.96664655	-104.41161690	S	NAD83				3072	
USGS	435800104273001	46-063-18add01	43.96664667	-104.45884120	F	NAD83				1030	1030
USGS	435800104273002	46-063-18add02	43.96664667	-104.45884120	F	NAD83				1104	1104
USGS	435801104143101	34-061-06ab 01	42.95607934	-104.22716490	M	NAD83	 4490.00	1	NGVD29	265	
USGS	435801107250701	35-088-32bbb01	42.96940510	-107.42006850	S	NAD83	 6490.00	10	NGVD29	7.8	
USGS	435803105051701	35-069-36bdd01	42.96274495	-105.08664040	S	NAD83	 4700.00	1	NGVD29	126	
USGS	435804106094501	46-077-07cc 01	43.96775580	-106.16307940	S	NAD83	 4170.00	1	NGVD29	210	
USGS	435805104240101	46-063-15ad 01	43.96081310	-104.40078310	S	NAD83					
USGS	435805106414401	46-082-10dbc01	43.96802867	-106.69615820	S	NAD83	 4800.00	1	NGVD29	150	
USGS	435807104224901	46-63-15add01  BLACK HILLS POWER  4	43.96859090	-104.38078220	U	NAD83				3135	3135
USGS	435807104234801	46-063-15add02	43.96859098	-104.39717180	S	NAD83	 4385	  5	NGVD29	3101	3101
USGS	435809104210301	46-062-18dbc01	43.96914640	-104.35133650	F	NAD83	 4510	 10	NGVD29	2677	2677
USGS	435810105581001	46-076-10da 01	43.96942205	-105.97001590	T	NAD83				90.0	
USGS	435811104243901	46-063-15bdc02	43.96970215	-104.41133900	S	NAD83	 4315	  5	NGVD29	2991	2991
USGS	435811107175300	46-087-10acb01	43.96968250	-107.29868170	S	NAD83	 5100	20	NGVD29	1410	
USGS	435812106342801	35-081-29dda01	42.96718777	-106.57531680	S	NAD83	 5402.00	5	NGVD29	30.0	
USGS	435814107580201	46-093-12dbb01	43.97051219	-107.96787210	S	NAD83	 4155	 10	NGVD29	35	35
USGS	435814107593401	46-093-11dbb01	43.97051200	-107.99342850	U	NAD83	 4085	10	NGVD29	25	
USGS	435815107575801	46-093-12dab01	43.97078998	-107.96676100	U	NAD83	 4154	10	NGVD29	35	
USGS	435819107580601	46-093-11add01	43.97190108	-107.96898330	F	NAD83	 4150	 10	NGVD29	30	
USGS	435820105065401	35-069-35bbb01	42.96774490	-105.11469690	S	NAD83	 4825.00	1	NGVD29	195	
USGS	435820106312601	46-080-07bd 01	43.97219886	-106.52448400	S	NAD83	 4660.00	1	NGVD29	252	
USGS	435820106423501	46-082-09ad 01	43.97219508	-106.71032540	F	NAD83	 9999	  1	NGVD29	150	
USGS	435821108081701	46-094-09acc01	43.97245595	-108.13871040	U	NAD83	 4375	10	NGVD29	80	
USGS	435822104243101	46-063-10cda01	43.97275770	-104.40911680	U	NAD83				3135	3135
USGS	435822106295701	46-080-08ad 01	43.97275490	-106.49976080	S	NAD83	 4640.00	  1	NGVD29	38.0	
USGS	435822106423901	46-082-09ad 02	43.97275060	-106.71143660	M	NAD83	 9999	  1	NGVD29	240	
USGS	435822108082001	46-094-09bdd01	43.97273370	-108.13954370	U	NAD83	 4380	10	NGVD29	170	
USGS	435823104054501	46-060-08ccc01	43.97303515	-104.09632400	S	NAD83	 5035	 10	NGVD29	390	390
USGS	435823107570401	46-092-07bc 01	43.97301230	-107.95176050	S	NAD83	 4173	  1	NGVD29	425	
USGS	435824106343601	35-081-29aaa01	42.97802119	-106.57531690	S	NAD83	 5400.00	5	NGVD29	37.0	
USGS	435827106091601	46-077-07db 01	43.97414476	-106.15502350	S	NAD83	 4170.00	1	NGVD29	445	
USGS	435829104240801	46-063-15aba01	43.97480556	-104.40219440	1	NAD83	 4355	  5	NGVD29	28.5	29
USGS	435830105460001	46-074-09cb 01	43.97497710	-105.76723090	T	NAD83				281	
USGS	435830105525001	46-075-09bd 01	43.97497740	-105.88112390	T	NAD83				400	
USGS	435830107170801	35-087-29dba01	42.97662820	-107.28673160	S	NAD83	 6115.00	10	NGVD29		
USGS	435830108215401	46-096-10bb 01	43.97495510	-108.36566210	U	NAD83	 5000	 10	NGVD29	236	
USGS	435830108331001	46-098-12aab01	43.97495450	-108.55344710	S	NAD83	 5327	 10	NGVD29	375	375
USGS	435830108362501	46-098-10bba01	43.97495450	-108.60761620	S	NAD83	 5480.00	 10	NGVD29	350	
USGS	435832107170801	35-087-29dab02	42.97662825	-107.28450930	S	NAD83	 6102.00	1	NGVD29	133	
USGS	435832107170901	35-087-29dab01	42.97662825	-107.28450930	S	NAD83	 6102.00	1	NGVD29	200	
USGS	435834104241401	46-063-10dca02	43.97609110	-104.40439430	M	NAD83	 4350	  1	NGVD29	2592	
USGS	435834106064001	46-077-09ad 01	43.97608915	-106.11168840	M	NAD83	 4510.00	1	NGVD29	247	
USGS	435835104241501	46-063-10dca01	43.97636889	-104.40467210	F	NAD83	 4350.00	  1	NGVD29	2592	2592
USGS	435840104065701	46-060-07cbc01	43.97775740	-104.11632500	S	NAD83	 5070	 10	NGVD29	1103	1103
USGS	435840104253001	46-063-09db 01	43.97775786	-104.42550640	M	NAD83				607	607
USGS	435840104302001	46-064-11db 01	43.97775805	-104.50606550	F	NAD83				1800	1800
USGS	435840107590501	46-093-11aa 01	43.97773430	-107.98537280	U	NAD83	 4260	 20	NGVD29	90	
USGS	435842104240701	46-063-10dba01	43.97831336	-104.40244980	S	NAD83	 4372	  5	NGVD29	2592	2592
USGS	435842104243101	46-063-10cda02	43.97831338	-104.40911680	S	NAD83	 4380	  5	NGVD29	3135	3135
USGS	435844108005601	46-093-03cdc01	43.97884528	-108.01620700	S	NAD83	 4155	 10	NGVD29	75.00	
USGS	435847108005401	46-093-03cdb01	43.97967860	-108.01565150	U	NAD83	 4158	10	NGVD29	67	
USGS	435847108010601	46-093-03cca01	43.97967860	-108.01898490	U	NAD83	 4160	10	NGVD29	100	
USGS	435848104540202	46-067-09ad 02	43.97997855	-104.90108280	F	NAD83				130	130
USGS	435850107574001	46-093-01dcc01	43.98051229	-107.96176090	S	NAD83	 4140	 10	NGVD29	85	
USGS	435851107434001	46-091-02dba01	43.98079169	-107.72841980	U	NAD83	 4562	10	NGVD29	1402	
USGS	435851107573001	46-092-06ccb01	43.98079009	-107.95898300	U	NAD83	 4140	 10	NGVD29	90	
USGS	435854107573101	46-093-01dca01	43.98162340	-107.95926080	S	NAD83	 4140	 10	NGVD29	80	
USGS	435856104522401	46-067-14bc 01	43.98220090	-104.87385950	F	NAD83				228	228
USGS	435858107580501	46-093-01ddc01	43.98273448	-107.96870560	S	NAD83					
USGS	435900104170001	46-070-16bdd01	43.96442100	-105.27581920	M	NAD83	 4895.00	1	NGVD29	887	
USGS	435900105400001	46-073-06ddd01	43.98331020	-105.66722680	T	NAD83				233	
USGS	435902105060901	35-069-26aca01	42.97941156	-105.10191870	S	NAD83	 4700.00	1	NGVD29	160	
