agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	423111090203901	LF-01/01E/35-0198	42.51972520	-90.34429390	S	NAD83	 885	  5	NGVD29	200	200
USGS	423112088022801	KE-01/21E/29-0102	42.52001928	-88.04119359	F	NAD83	 784.00	5	NGVD29	217	217
USGS	423112088144701	KE-01/19E/28-0166	42.52001840	-88.24647930	F	NAD83	 889.00	5	NGVD29	245	245
USGS	423112090145701	LF-01/02E/34-0077	42.52000336	-90.24929340	S	NAD83	 1031.97	.01	NGVD29	345	345
USGS	423113088104701	KE-01/20E/30-0131	42.52029647	-88.17981000	F	NAD83	 764.00	5	NGVD29	210	210
USGS	423114088055501	KE-01/20E/26-0133	42.52057459	-88.09869580	F	NAD83	 847.00	5	NGVD29	245	245
USGS	423114090161101	LF-01/02E/33-0057	42.52003610	-90.26983060	H	NAD83	 999.5	 .1	NAVD88	265	265
USGS	423115087494901	KE-01/23E/30-0079	42.52085385	-87.83035170	F	NAD83	 630.00	5	NGVD29	150	150
USGS	423115088060001	KE-01/20E/26-0132	42.52085236	-88.10008480	F	NAD83	 839.00	5	NGVD29	232	232
USGS	423115088074301	KE-01/20E/28-0155	42.52085220	-88.12869700	F	NAD83	 766.00	5	NGVD29	215	215
USGS	423116087523601	KE-01/22E/27-0083	42.52113130	-87.87674249	F	NAD83	 738.00	5	NGVD29	245	245
USGS	423117090135501	LF-01/02E/34-0013	42.52139240	-90.23207100	S	NAD83	 1075	  5	NGVD29	175	175
USGS	423118087501001	KE-01/22E/25-0052	42.52168710	-87.83618530	F	NAD83	 632.00	5	NGVD29	147	147
USGS	423118087570101	KE-01/22E/30-0056	42.52168640	-87.95035660	F	NAD83	 719.00	5	NGVD29	250	250
USGS	423118087570102	KE-01/22E/30-0297	42.52168640	-87.95035660	T	NAD83	 710.00	5	NGVD29	390	390
USGS	423118090135601	LF-01/02E/34-0014	42.52167017	-90.23234870	S	NAD83	 1076.00	5	NGVD29	338	340
USGS	423120088595001	RO-01/13E/30-0525	42.52223720	-88.99733150	S	NAD83	 799.00	5	NGVD29	108	108
USGS	423121087522101	KE-01/22E/26-0053	42.52252024	-87.87257570	F	NAD83	 730.00	5	NGVD29	239	239
USGS	423122088144001	KE-01/19E/27-0167	42.52279618	-88.24453480	S	NAD83	 871.00	5	NGVD29	440	440
USGS	423122090205901	LF-01/01E/27-0182	42.52278065	-90.34984950	F	NAD83	 764.30	 .1	NGVD29	132	132
USGS	423123087571701	KE-01/21E/25-0109	42.52307528	-87.95480130	F	NAD83	 722.00	5	NGVD29	236	236
USGS	423123090205301	LF-01/01E/27-0186	42.52305840	-90.34818280	F	NAD83	 827.70	 .1	NGVD29		
USGS	423123090241201	LF-01/01E/29-0329	42.52305820	-90.40346090	S	NAD83	 806.70	5	NGVD29	300	424
USGS	423124089161401	RO-01/10E/26-0430	42.52334500	-89.27066990	F	NAD83	 750.00	5.	NGVD29	190	190
USGS	423125087482301	KE-01/23E/20-0047	42.52363176	-87.80646180	F	NAD83	 593.00	5	NGVD29	110	110
USGS	423125087584201	KE-01/21E/26-0112	42.52363069	-87.97841340	F	NAD83	 741.00	5	NGVD29	265	265
USGS	423125088522701	RO-01/14E/20-0071	42.52362659	-88.87427350	F	NAD83	 975.00	2.	NGVD29	118	118
USGS	423127087491201	KE-01/23E/19-0031	42.52418720	-87.82007350	F	NAD83	 612	  5	NGVD29	105	105
USGS	423127087544701	KE-01/22E/20-0086	42.52418665	-87.91313290	F	NAD83	 700.00	5	NGVD29	178	178
USGS	423127087570301	KE-01/22E/19-0085	42.52418640	-87.95091220	F	NAD83	 722.00	5	NGVD29	215	215
USGS	423127088144701	KE-01/19E/21-0040	42.52418505	-88.24647930	F	NAD83	 850.00	5	NGVD29	1000	1000
USGS	423127088162401	KE-01/19E/20-0165	42.52418497	-88.27342470	F	NAD83	 861.00	5	NGVD29	214	214
USGS	423128087590201	KE-01/21E/23-0108	42.52446398	-87.98396920	F	NAD83	 770.00	5	NGVD29	220	220
USGS	423128088480401	RO-02/14E/23-0528	42.52446020	-88.80121650	S	NAD83	 910.00	5	NGVD29	910	910
USGS	423130088582101	RO-01/13E/21-0536	42.52501504	-88.97260890	S	NAD83	 812.00	10	NGVD29	262	262
USGS	423131088143101	KE-01/19E/22-0168	42.52529618	-88.24203469	F	NAD83	 839.00	5	NGVD29	212	270
USGS	423131089090001	RO-01/11E/26-0307	42.52529078	-89.15011220	F	NAD83	 852	 5.	NGVD29	91.0	91.0
USGS	423132088143701	KE-01/19E/22-0162	42.52557394	-88.24370140	F	NAD83	 845.00	5	NGVD29	214	214
USGS	423132089003301	RO-01/13E/19-0027	42.52557036	-89.00927620	F	NAD83	 801	  5	NGVD29	1130	1130
USGS	423133090203601	LF-01/01E/26-0223	42.52583610	-90.34346060	S	NAD83	 840	  5	NGVD29	230	230
USGS	423135088074901	KE-01/20E/21-0151	42.52640776	-88.13036370	F	NAD83	 763.00	5	NGVD29	212	212
USGS	423135088145501	KE-01/19E/28-0245	42.52640725	-88.24870160	T	NAD83	 830.00	10	NGVD29	365	365
USGS	423136089003401	RO-01/13E/19-0038	42.52668140	-89.00955400	F	NAD83	 801.00	5	NGVD29	225	225
