agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	373814109274501	 (D-36-22)23dcd- 1	37.63721977	-109.46317660	T	NAD83	 6080.00	40	NGVD29	129	129
USGS	373815113090500	 (C-36-12)25cda- 1	37.63747718	-113.15217270	S	NAD83	 5550	 10	NGVD29	370	600
USGS	373817109282101	 (D-36-22)23cca- 1	37.63805309	-109.47317690	T	NAD83	 6170.00	40	NGVD29	165	165
USGS	373820109281801	 (D-36-22)23cca- 2	37.63888640	-109.47234360	T	NAD83	 6160.00	40	NGVD29	165	165
USGS	373820113421802	 (C-37-17)31ccd- 1	37.53886550	-113.70579880	M	NAD83	 5290.00	  1	NGVD29	483	
USGS	373821110062901	 (D-36-16)24c	37.63915940	-110.10874460	F	NAD83	 5700	 20	NGVD29	3276	3276
USEPA	373821112261101	(C-36-28) 5bdd-1	37.63914655	-112.43715160	U	NAD83	 6925	 10	NGVD29		
USGS	373822109290501	 (D-36-22)22cad- 1	37.63944196	-109.48539960	T	NAD83	 6240.00	 40	NGVD29	150	150
USGS	373823109280301	 (D-36-22)23dbc- 1	37.63971970	-109.46817680	F	NAD83	 6140.00	 40	NGVD29		125
USGS	373825113421401	 (C-36-17) 24dba- 1	37.64025167	-113.70468860	R	NAD83	 5245	  5	NGVD29	405	405
USGS	373826109273101	 (D-36-22)23dad- 1	37.64055300	-109.45928760	T	NAD83	 6140.00	40	NGVD29	165	165
USGS	373826113384901	 (C-36-16)21dba- 1	37.64052990	-113.64774220	S	NAD83	 5222.00	  2	NGVD29	68.0	
USGS	373826113392001	 (C-36-16)21cab- 1	37.64052985	-113.65635360	S	NAD83	 5226.20	.1	NGVD29	95.0	
USGS	373826113412301	 (C-36-16)19caa- 1	37.64052956	-113.69052150	S	NAD83	 5233.00	  2	NGVD29	102	
USGS	373827112254201	(C-36- 5)33bbd-1	37.64083330	-112.42833330	U	NAD83					
USGS	373827113400901	 (C-36-16)20dbb- 1	37.64080750	-113.66996520	S	NAD83	 5225.00	  2	NGVD29	400	400
USGS	373828113393301	 (C-36-16)21bcc- 1	37.64108536	-113.65996490	S	NAD83	 5222.00	  2	NGVD29	335	335
USGS	373828113403501	 (C-36-16)20bcc- 1	37.64108520	-113.67718770	S	NAD83	 5228.00	  2	NGVD29	507	507
USGS	373829113080101	(C-36-11)30acc-1	37.64138889	-113.13361100	U	NAD83					
USGS	373830109273801	 (D-36-22)23dab- 1	37.64166410	-109.46123200	T	NAD83	 6150.00	40	NGVD29	135	135
USGS	373830109283201	 (D-36-22)22daa- 1	37.64166410	-109.47623260	F	NAD83	 6206.60	.11	NAVD88	140	
USGS	373830113075502	 (C-36-11)30acc- 2	37.64164379	-113.13272790	S	NAD83	 5620	  5	NGVD29	600	610
